fid,name,mv16,district,address,contact_name,contact_designation,membership,thana
674,Anzir Apparels Ltd.,Ashulia Police Station,Dhaka,,Mostofa Arif,,Member,Ashulia
675,Prime Cap (BD) Ltd.,Ashulia Police Station,Dhaka,,Suk Min Ko,,Member,Ashulia
676,Hypoid Girls Fashion Ltd.,Mirpur Model Police Station,Dhaka,,Md. Golam Mostafa,,Member,Mirpur Model
677,K. C. Bottom & Shirt Wear Company,Uttar Khan Police Station,Dhaka,,Md. Fazlul Kabir Jewel,,Member,Uttar Khan
678,K. C. Jacket Wear Company,Uttar Khan Police Station,Dhaka,,Md. Fazlul Kabir Jewel,,Member,Uttar Khan
679,KHS Fashions Ltd.,Uttar Khan Police Station,Dhaka,,Md. Sohel Ahmed,,Member,Uttar Khan
680,EVINCE GARMENTS LTD.,Pallabi Police Station,Dhaka,"PLOT 33 (1ST FLOOR), MILK VITA ROAD, SECTION 7, MIRPUR, DHAKA-1216",MOYNUL KABIR MUNNA,MANAGER (ADMIN),Member,Pallabi
681,R.R. Sweaters Ltd,Mirpur Model Police Station,Dhaka,,MD. Saifur Rahman,,Member,Mirpur Model
682,Combine Tex Ltd.,Ashulia Police Station,Dhaka,,Md. Abu Kabir,,Member,Ashulia
683,Elaine Apparels Ltd.,Ashulia Police Station,Dhaka,,M Mahabubur Rahman,,Member,Ashulia
684,SUNMOON BANGLADESH LTD.,Pallabi Police Station,Dhaka,"PLOT 11 (3RD FLOOR), ROAD 1, SECTION 7, MIRPUR, DHAKA-1216",KHOND. ZAKIR HOSSAIN (BABUL),MANAGING DIRECTOR,Member,Pallabi
685,D. Z.Garments Ltd.,Pallabi Police Station,Dhaka,,Md. Aynul Haque,,Member,Pallabi
686,Shad Fashion Ltd.,Ashulia Police Station,Dhaka,,Md. Ataur Rahman,,Member,Ashulia
687,Generation Next Fashion Ltd.,Ashulia Police Station,Dhaka,,Md.Mahabub Morsed,,Member,Ashulia
688,H M Sweaters,Badda Police Station,Dhaka,,Md. Abul Kashem,,Member,Badda
689,Attires Manufacturing Company Ltd.,Tejgoan Industrial Police Station,Dhaka,,Faizullah Fayz,,Member,Tejgoan Industrial
690,Naab Fashions Ltd.,Khilkhet Police Station,Dhaka,,Bikas Chandra Dutta,,Member,Khilkhet
691,D. H. Sweater Ltd.,Ashulia Police Station,Dhaka,,Bivash,,Member,Ashulia
692,Euro Arte Apparels Ltd,Ashulia Police Station,Dhaka,,Md. Imdadul Alam,,Member,Ashulia
693,Manami Fashions Ltd.,Ashulia Police Station,Dhaka,,Anwar Hossain,,Member,Ashulia
694,Rudmila Knitwear Ltd.,Ashulia Police Station,Dhaka,,Nimai Chandro Mondol,,Member,Ashulia
695,Musk Trousers Ltd.,Banani Police Station,Dhaka,,Robiul Alam,,Member,Banani
696,Wucho Fashion Ltd.,Ashulia Police Station,Dhaka,,Md.Saidul Haque,,Member,Ashulia
697,Cassiopea Clothing Ltd.,Turag Police Station,Dhaka,,B.M. Arif Hossain Salim ( Head of plant),,Member,Turag
698,APPOLLO FASHIONS LTD.,Pallabi Police Station,Dhaka,"PLOT 1-5/1 (4TH FLOOR), ROAD NO 7, POST OFFICE ROAD, SECTION 7, MIRPUR, DHAKA-1216",ABDUL MAZID,"MANAGER (ADMIN, HR & COMPLIANCE)",Member,Pallabi
699,Taurus Styles Ltd.,Kafrul Police Station,Dhaka,,Md.Shahadat Hossain (Nadim),,Member,Kafrul
700,APS Holdings Ltd.,DakshinKhan Police Station,Dhaka,,M. J. Rashed,,Member,DakshinKhan
701,Medell Apparels Ltd.,Uttar Khan Police Station,Dhaka,,Md. Ekram Uz zaman,,Member,Uttar Khan
702,Tex Apparels Export Ltd.,Uttar Khan Police Station,Dhaka,,Md. Moazzem Hossain,,Member,Uttar Khan
703,Designtex Fashions Ltd.,Ashulia Police Station,Dhaka,,Md. Joynul Alam (Ripon),,Member,Ashulia
704,Aman Fashions & Designs Ltd,Ashulia Police Station,Dhaka,,Rashed Salauddin,,Member,Ashulia
705,Mega Chois Knitwear Ltd.,Ashulia Police Station,Dhaka,,Md. Mahfuzur Rahman,,Member,Ashulia
706,Nalin Tex Ltd,Uttar Khan Police Station,Dhaka,,Mohiul Islam (Sohel),,Member,Uttar Khan
707,Danny Dhaka Ltd.,Turag Police Station,Dhaka,,S M Ali Mortuza,,Member,Turag
708,Good Guys Ltd.,Turag Police Station,Dhaka,,MD Ariful Islam,,Member,Turag
709,PHS Design Ltd.,Badda Police Station,Dhaka,,Md. Delower Hossain,,Member,Badda
710,Saadatia Sweaters Ltd.,Ashulia Police Station,Dhaka,,Md. Arshedhul Awal Methu,,Member,Ashulia
711,Defoin Design (Pvt.) Ltd.,Ashulia Police Station,Dhaka,,Md. Kamrul Hassan,,Member,Ashulia
712,Zest Knitwear Ltd.,Uttar Khan Police Station,Dhaka,,Md. Motiur Rahman,,Member,Uttar Khan
713,Ruhul Garments Ltd.,Jattrabari Police Station,Dhaka,,Nur Mohammad (Rudra),,Member,Jattrabari
714,Azmery Garments Ltd.,Jattrabari Police Station,Dhaka,,Farhad Hossain,,Member,Jattrabari
715,M & H Corporation (Pvt.) Ltd.,Turag Police Station,Dhaka,,MD. Ilias chowdhury,,Member,Turag
716,Nassa Knit Ltd.,Tejgoan Police Station,Dhaka,,Maj. Md.Ekramul Kabir howlader,,Member,Tejgoan
717,Nassa Apparels Ltd.  Unit-2,Tejgoan Police Station,Dhaka,,Maj. Md. Ekramul Kabir Howlader,,Member,Tejgoan
718,FGS Knitwear Ltd.,Ashulia Police Station,Dhaka,,Md. Mizamur Rahman,,Member,Ashulia
719,Sterling Denims Ltd.,Ashulia Police Station,Dhaka,,Md. Idris Mallik,,Member,Ashulia
